,Date,Bonds 10year
0,1979-12-27,10.46
1,1979-12-28,10.41
3,1979-12-31,10.33
5,1980-01-02,10.5
6,1980-01-03,10.6
7,1980-01-04,10.66
9,1980-01-07,10.63
10,1980-01-08,10.57
11,1980-01-09,10.58
12,1980-01-10,10.51
13,1980-01-11,10.68
15,1980-01-14,10.7
16,1980-01-15,10.65
17,1980-01-16,10.65
18,1980-01-17,10.71
19,1980-01-18,10.82
21,1980-01-21,10.96
22,1980-01-22,10.85
23,1980-01-23,10.82
24,1980-01-24,11.01
25,1980-01-25,11.1
27,1980-01-28,11.15
28,1980-01-29,11.21
29,1980-01-30,11.16
30,1980-01-31,11.13
31,1980-02-01,11.29
33,1980-02-04,11.4
34,1980-02-05,11.73
35,1980-02-06,11.92
36,1980-02-07,11.71
37,1980-02-08,11.8
39,1980-02-11,12.01
41,1980-02-13,11.86
42,1980-02-14,11.97
43,1980-02-15,12.2
46,1980-02-19,12.85
47,1980-02-20,12.84
48,1980-02-21,13.22
49,1980-02-22,13.06
51,1980-02-25,13.27
52,1980-02-26,13.65
53,1980-02-27,13.46
54,1980-02-28,12.92
55,1980-02-29,12.72
57,1980-03-03,12.79
58,1980-03-04,12.91
59,1980-03-05,13.03
60,1980-03-06,13.13
61,1980-03-07,12.86
63,1980-03-10,12.63
64,1980-03-11,12.41
65,1980-03-12,12.62
66,1980-03-13,12.5
67,1980-03-14,12.52
69,1980-03-17,12.58
70,1980-03-18,12.4
71,1980-03-19,12.35
72,1980-03-20,12.62
73,1980-03-21,12.75
75,1980-03-24,13.17
76,1980-03-25,13.1
77,1980-03-26,13.03
78,1980-03-27,12.97
79,1980-03-28,12.72
81,1980-03-31,12.64
82,1980-04-01,12.69
83,1980-04-02,12.63
84,1980-04-03,12.52
87,1980-04-07,12.13
88,1980-04-08,12.21
89,1980-04-09,12.06
90,1980-04-10,12.06
91,1980-04-11,11.79
93,1980-04-14,11.62
94,1980-04-15,11.57
95,1980-04-16,10.9
96,1980-04-17,11.13
97,1980-04-18,11.05
99,1980-04-21,10.9
100,1980-04-22,10.82
101,1980-04-23,10.89
102,1980-04-24,10.96
103,1980-04-25,10.95
105,1980-04-28,10.63
106,1980-04-29,10.67
