,Date,XAU/USD
0,1979-12-27,515.5
1,1979-12-28,512.0
2,1980-01-01,512.0
3,1980-01-02,559.75
4,1980-01-03,634.25
5,1980-01-04,634.25
6,1980-01-07,634.0
7,1980-01-08,610.0
8,1980-01-09,607.2
9,1980-01-10,603.35
10,1980-01-11,623.0
11,1980-01-14,660.0
12,1980-01-15,684.0
13,1980-01-16,760.0
14,1980-01-17,750.0
15,1980-01-18,835.0
16,1980-01-21,835.0
17,1980-01-22,737.5
18,1980-01-23,695.0
19,1980-01-24,717.0
20,1980-01-25,668.0
21,1980-01-28,624.0
22,1980-01-29,674.25
23,1980-01-30,691.0
24,1980-01-31,653.0
25,1980-02-01,676.5
26,1980-02-04,669.75
27,1980-02-05,669.75
28,1980-02-06,709.0
29,1980-02-07,699.25
30,1980-02-08,692.0
31,1980-02-11,710.5
32,1980-02-12,694.5
33,1980-02-13,696.75
34,1980-02-14,682.0
35,1980-02-15,667.0
36,1980-02-18,667.0
37,1980-02-19,652.25
38,1980-02-20,652.25
39,1980-02-21,665.0
40,1980-02-22,630.0
41,1980-02-25,616.5
42,1980-02-26,642.25
43,1980-02-27,636.0
44,1980-02-28,646.0
45,1980-02-29,637.0
46,1980-03-03,663.75
47,1980-03-04,631.25
48,1980-03-05,643.5
49,1980-03-06,643.5
50,1980-03-07,609.0
51,1980-03-10,585.0
52,1980-03-11,570.25
53,1980-03-12,585.7
54,1980-03-13,556.5
55,1980-03-14,523.0
56,1980-03-17,484.0
57,1980-03-18,481.5
58,1980-03-19,527.0
59,1980-03-20,561.0
60,1980-03-21,561.0
61,1980-03-24,558.25
62,1980-03-25,547.25
63,1980-03-26,508.0
64,1980-03-27,485.25
65,1980-03-28,490.0
66,1980-03-31,495.0
67,1980-04-01,509.5
68,1980-04-02,500.5
69,1980-04-03,485.75
70,1980-04-04,485.75
71,1980-04-07,485.75
72,1980-04-08,528.0
73,1980-04-09,554.0
74,1980-04-10,526.0
75,1980-04-11,530.5
76,1980-04-14,529.75
77,1980-04-15,497.5
78,1980-04-16,520.0
79,1980-04-17,513.0
80,1980-04-18,515.6
81,1980-04-21,506.0
82,1980-04-22,506.0
83,1980-04-23,506.5
84,1980-04-24,515.7
85,1980-04-25,551.5
86,1980-04-28,524.25
87,1980-04-29,513.75
88,1980-04-30,518.0
89,1980-05-01,490.0
90,1980-05-02,512.5
91,1980-05-05,515.0
92,1980-05-06,512.5
93,1980-05-07,512.5
94,1980-05-08,515.75
95,1980-05-09,508.25
96,1980-05-12,513.25
97,1980-05-13,512.0
98,1980-05-14,525.0
99,1980-05-15,517.0
100,1980-05-16,516.5
101,1980-05-19,514.25
102,1980-05-20,507.75
103,1980-05-21,513.5
104,1980-05-22,513.5
105,1980-05-23,511.25
106,1980-05-26,511.25
107,1980-05-27,514.8
108,1980-05-28,526.5
109,1980-05-29,519.6
110,1980-05-30,535.5
111,1980-06-02,561.5
112,1980-06-03,552.5
113,1980-06-04,571.5
114,1980-06-05,581.75
115,1980-06-06,581.75
116,1980-06-09,623.75
117,1980-06-10,604.0
118,1980-06-11,596.0
119,1980-06-12,590.0
120,1980-06-13,608.4
121,1980-06-16,590.0
122,1980-06-17,591.75
123,1980-06-18,602.5
124,1980-06-19,599.0
125,1980-06-20,602.5
126,1980-06-23,602.5
127,1980-06-24,603.0
128,1980-06-25,622.5
129,1980-06-26,624.5
130,1980-06-27,637.5
131,1980-06-30,653.5
132,1980-07-01,660.0
133,1980-07-02,661.5
134,1980-07-03,663.5
135,1980-07-04,663.5
136,1980-07-07,667.5
137,1980-07-08,687.5
138,1980-07-09,671.0
139,1980-07-10,656.5
140,1980-07-11,666.7
141,1980-07-14,650.0
142,1980-07-15,619.5
143,1980-07-16,624.75
144,1980-07-17,627.25
145,1980-07-18,606.0
146,1980-07-21,617.5
147,1980-07-22,613.0
148,1980-07-23,631.25
149,1980-07-24,643.0
150,1980-07-25,651.75
151,1980-07-28,643.5
152,1980-07-29,646.75
153,1980-07-30,629.0
154,1980-07-31,614.25
155,1980-08-01,622.0
156,1980-08-04,630.75
157,1980-08-05,630.5
158,1980-08-06,627.75
159,1980-08-07,629.5
160,1980-08-08,630.0
161,1980-08-11,617.0
162,1980-08-12,605.0
163,1980-08-13,615.25
164,1980-08-14,626.0
165,1980-08-15,624.5
166,1980-08-18,612.5
167,1980-08-19,624.0
168,1980-08-20,634.75
169,1980-08-21,645.25
170,1980-08-22,639.2
171,1980-08-25,634.75
172,1980-08-26,628.85
173,1980-08-27,633.85
174,1980-08-28,635.3
175,1980-08-29,631.25
176,1980-09-01,631.25
177,1980-09-02,640.0
178,1980-09-03,636.75
179,1980-09-04,647.25
180,1980-09-05,651.0
181,1980-09-08,672.0
182,1980-09-09,670.5
183,1980-09-10,686.5
184,1980-09-11,674.0
185,1980-09-12,685.5
